Symbol,Issue_Name,Primary_Listing_Mkt
CPYA,CORPORATE PPTY ASSOCS 18 - GLOBAL INC COM CL C Common Stock,U
CPYCF,Compliance Energy Corp Common Shares,U
CPYJ,"Custom Designed Compressor Systems, Inc. Common Stock",U
CPYT,"CarePayment Technologies, Inc. Common Stock",U
CPYYF,Centrica plc Ordinary Shares (United Kingdom),U
CPYYY,Centrica plc Sponsored American Depositary Shares,U
CPZ,Calamos Long/Short Equity & Dynamic Income Trust Common Stock,NASDAQ
CQCQ,"MakingORG, Inc.  Stock",U
CQER,SecurCapital Holdings Corp Common Stock,U
CQP,"Cheniere Energy Partners, LP",AMEX
CQQQ,Invesco China Technology ETF,ARCA
CQRLF,Conquest Resources Ltd Common Shares,U
CQXL,COMMONWEALTH EDISON CO LEGENDED COM,U
CR,Crane Company,NYSE
CRAI,"CRA International, Inc. Common Stock",NASDAQ
CRAK,VanEck Vectors Oil Refiners ETF,ARCA
CRARF,Credit Agricole SA ACT (France),U
CRARY,Credit Agricole SA Unsponsored ADR (France),U
CRAWA,Crawford United Corporation Common Stock,U
CRAXF,Corticeira Amorim Sociedad Gestora Participacoes Sociais SA Ordinary Shares (Portugal),U
CRAYF,Crayon Group HLDG AS Common Shares  Norway (NO),U
CRBBF,Corby Spirit and Wine Ltd Vtg Sh Cl B Ordinary Shares,U
CRBJF,"China Resources Land, Ltd. Ordinary Shares (Cayman Islands) HKD",U
CRBJY,"China Resources Land, Ltd. Unsponsored ADR (Cayman Islands)",U
CRBKF,CAREBOOK TECHNOLOGIES INC NEW Common Shares,U
CRBN,iShares MSCI ACWI Low Carbon Target ETF,ARCA
CRBO,Carbon Energy Corporation Common Stock,U
CRBP,"Corbus Pharmaceuticals Holdings, Inc. Common Stock",NASDAQ
CRBTF,INTELLABRIDGE TECHNOLOGY CORP Ordinary Shares,U
CRC,California Resources Corporation,NYSE
CRCA,Connecticut River Community Bank (CT) Common Stock,U
CRCBY,Chongqing Rural Commercial Bank Co Ltd Unsponsored ADR (China),U
CRCQW,CALIFORNIA RES CORP WT EXP 10/27/2024,U
CRCRF,CAR INC Ordinary Shares (Cayman Islands),U
CRCT,"Cricut, Inc. Class A Common Stock",NASDAQ
CRCUF,CANAGOLD RES LTD Common Shares,U
CRCW,The Crypto Company Common Stock,U
CRD A,Crawford & Company Class A,NYSE
CRD B,Crawford & Company Class B,NYSE
CRDE,Cardinal Ethanol LLC Membership Unit,U
CRDF,"Cardiff Oncology, Inc. Common Stock",NASDAQ
CRDIY,"Concordia Financial Group, Ltd. American Depositary Receipts - Unsponsored (Japan)",U
CRDX,Credex Corporation Common,U
CREAF,Creative Technology Ltd. Ordinary Shares,U
CREAY,Creative Technology Ltd. Unsponsored ADR (Singapore),U
CRECF,Critical Elements Lithium Corporation Common Shares,U
CREE,"Cree, Inc. Common Stock",NASDAQ
CREG,China Recycling Energy Corporation Common Stock,NASDAQ
CREQF,China Rare Earth Holdings Ltd Ordinary Shares,U
CRERF,Carrefour S A (F) Ordinary Shares,U
CRESF,Cresud SA Comercial Industrial Financiera Ordinary Shares (Argentina),U
CRESY,Cresud S.A.C.I.F. y A. American Depositary Shares,NASDAQ
CREVF,Carbon Revolution Ltd Ordinary Shares (Australia),U
CREX,"Creative Realities, Inc. Common Stock",NASDAQ
CREXW,"Creative Realities, Inc. Warrant",NASDAQ
CRF,"Cornerstone Total Return Fund, Inc",AMEX
CRFCF,CARD FACTORY PLC Ordinary Shares,U
CRFQF,Zedcor Inc. Ordinary Shares,U
CRFTF,BC CRAFT SUPPLY CO LTD Common Shares,U
CRFU,"Carefree Group, Inc. Common Stock New",U
CRGBF,"CAREPLUS GROUP BHD, SELANGOR DARUL EHSAN Ordinary Shares",U
CRGE,"Charge Enterprises, Inc. Common Stock",U
CRGGF,China Resources Gas Group Ltd Ordinary Shares (Bermuda),U
CRGP,"Calissio Resources Group, Inc. Common Stock",U
CRGS,"CurAegis Technologies, Inc. Common Stock",U
CRH,CRH Public Limited Company,NYSE
CRHC,Cohn Robbins Holdings Corp.,NYSE
CRHC U,"Cohn Robbins Holdings Corp. Units, each consisting of one Class A ordinary share and one-third of on",NYSE
CRHC WS,"Cohn Robbins Holdings Corp. Redeemable warrants, each whole warrant exercisable for one Class A ordi",NYSE
CRHCF,CRH PLC Ordinary Shares,U
CRHHF,Cross Harbour Holdings Ltd Ordinary Shares (Hong Kong),U
CRHKF,"China Resources Enterprise, Ltd. Ordinary Shares (Hong Kong)",U
CRHKY,China Resources Beer Holdings Company Limited American Depositary Receipts - Sponsored,U
CRI,Carter's Inc.,NYSE
CRIS,"Curis, Inc. Common Stock",NASDAQ
CRJI,China Runji Cement Inc. Common Stock,U
CRJTF,Crossject Ordinary Shares (France),U
CRK,"Comstock Resources, Inc.",NYSE
CRKM,Crank Media Inc  Common Stock,U
CRKN,Crown Electrokinetics Corp. Common Stock,NASDAQ
CRKT,Cirmaker Technology Corporation Common Stock,U
CRKZY,PJSC Cherkizovo Group Global Depositary Receipts - Unsponsored,U
CRL,"Charles River Laboratories International, Inc.",NYSE
CRLBF,Cresco Labs Inc Common Shares (Canada),U
CRLFF,Cardinal Energy Ltd. Ordinary Shares (Canada),U
CRLI,"Circuit Research Labs, Inc. Common Stock",U
CRLKP,Central Parking Financial Trust 5.25% Convertible Preferred Stock,U
CRLWF,Cresco Labs Inc Warrant Pur Com Sub Vtg Exp 09/24/2022 (Canada),U
CRM,"salesforce.com, inc.",NYSE
CRMBQ,"Crumbs Bake Shop, Inc. Common Stock",U
CRMD,CorMedix Inc. Common Stock,NASDAQ
CRMK,Cermetek Microelectronics Inc Unclassified,U
CRMLF,Clear Media Limited Ordinary Shares (Bermuda),U
CRMLY,CHINA RES MIXC LIFESTYLE SVCS LTD American Depositary Receipts - Unsponsored,U
CRMT,America's Car-Mart Inc Common Stock,NASDAQ
CRMWF,CROMWELL EUROPEAN REAL ESTATE INVT TR Ordinary Shares,U
CRMZ,"CreditRiskMonitor.com, Inc. Common Stock",U
CRNC,Cerence Inc. Common Stock,NASDAQ
CRNCY,Cairn Energy Plc American Depositary Receipts - Unsponsored,U
CRNHY,Crest Nicholson Holdings PLC Unsponsored ADR (United Kingdom),U
CRNLF,CAPRICORN METALS LTD Ordinary Shares,U
CRNT,Ceragon Networks Ltd. Ordinary Shares,NASDAQ
CRNX,"Crinetics Pharmaceuticals, Inc. Common Stock",NASDAQ
CRNY,"China Renyuan International, Inc. Common Stock",U
CRNZF,Cairn Energy Plc Ordinary Shares,U
CROC,ProShares UltraShort Australian Dollar,ARCA
CROJF,Marimaca Copper Corp Common Shares,U
CROMF,Crombie Real Estate Invt. Tr UNIT (Canada),U
CRON,Cronos Group Inc. Common Share,NASDAQ
CROOF,Cariboo Rose Res Ltd Common shares (Canada),U
CRORF,Croesus Retail Units (Singapore),U
CROTF,CIRRALTO LTD Ordinary Fully Paid (Australia),U
CROX,"Crocs, Inc. Common Stock",NASDAQ
CRPE,Columbian Rope Co  (Del) Common Stock,U
CRPFY,Corporacion Financiera Colombiana SA Sponsored ADR representing Class B Non Voting Shs (Colombia),U
CRPHY,CERES PWR HLDGS PLC American Depositary Receipts - Unsponsored,U
CRPJF,China Resources Power Holdings Co Ltd Ordinary Shares (Hong Kong),U
CRPJY,China Resources Power Holdings Co Ltd Unsponsored ADR (Hong Kong),U
CRPLF,CAPITAL & REGIONAL PLC Ordinary Shares,U
CRPOF,Ceapro Inc Ordinary Shares,U
CRQDF,Credito Real SA De CV Ordinary Shares (Mexico),U
CRQZF,Crooz Inc Common Shares (Japan),U
CRRDF,Cheetah Canyon Res Corp Ordinary Shares,U
CRRFY,Carrefour S A (F) Sponsored ADR (France),U
CRRLF,New Chorus Ordinary Shares (New Zealand),U
CRRSQ,CORP RES SVCS INC Common Stock,U
CRRTF,Crescita Therapeutics Inc Ordinary Shares (Canada),U
CRRVF,CVR Med Corp Ordinary Shares (Canada),U
CRRYY,Car Inc American Depositary Receipts - Unsponsored (Cayman Islands),U
CRS,Carpenter Technology Corp,NYSE
CRSA,Crescent Acquisition Corp Class A Common Stock,NASDAQ
CRSAU,Crescent Acquisition Corp Unit,NASDAQ
CRSAW,Crescent Acquisition Corp Warrant,NASDAQ
CRSB,Cornerstone Community Bancorp Common Stock,U
CRSIF,Create Restaurants Inc Ordinary Shares (Japan),U
CRSM,"CarSmartt, Inc. Common Stock",U
CRSP,CRISPR Therapeutics AG Common Shares,NASDAQ
CRSQ,"Corporate Restaurant Concepts, Inc. Common",U
CRSR,"Corsair Gaming, Inc. Common Stock",NASDAQ
CRSS,"Crossroads Systems, Inc. NEW Common Stock",U
CRSTF,Crest Resources Inc Ordinary Shares (Canada),U
CRSWF,CROSSWINDS HLDGS INC  Ordinary Shares,U
CRSXF,Corsa Coal Corp. Common Shares,U
CRT,Cross Timbers Royalty Trust,NYSE
CRTD,Creatd Inc. Common Stock,NASDAQ
CRTDW,Creatd Inc. Warrant,NASDAQ
CRTG,The Coretec Group Inc. Common Stock,U
CRTIF,Cartier Iron Corp Ordinary Shares (Canada),U
CRTL,"Cartel Blue, Inc. Common Stock",U
CRTO,Criteo S.A. American Depositary Shares,NASDAQ
CRTPF,Cardiol Therapeutics Inc Common Shares Class A Canada (CA),U
CRTSF,Christian Hansen Holding A/S Ordinary Shares (Denmark),U
CRTX,"Cortexyme, Inc. Common Stock",NASDAQ
CRU,Crucible Acquisition Corporation,NYSE
CRU U,"Crucible Acquisition Corporation Units, each consisting of one share of Class A common stock and one",NYSE
CRU WS,"Crucible Acquisition Corporation Redeemable warrants, each whole warrant exercisable for one share o",NYSE
CRUCF,Colibri Resource Corp Common Shares,U
CRUS,"Cirrus Logic, Inc. Common Stock",NASDAQ
CRVH,Chilco River Holdings Inc. Common Stock,U
CRVL,CorVel Corp. Common Stock,NASDAQ
CRVS,"Corvus Pharmaceuticals, Inc. Common Stock",NASDAQ
CRVW,"Careview Communications, Inc. Common Stock",U
CRVYF,Canadian Oil Recovery & Remediation Enterprises Ltd Common shares (Canada),U
CRWCY,Cranswick PLC American Depositary Share (Unsponsored) (United Kingdom),U
CRWD,"CrowdStrike Holdings, Inc. Class A Common Stock",NASDAQ
CRWE,Crown Equity Holdings Inc. Common Stock,U
CRWG,"CrowdGather, Inc. Common Stock",U
CRWKF,CRANSWICK PLC Ordinary Shares United Kingdom(GB ),U
CRWOF,China Railway Group Ltd Shs H (China),U
CRWRF,"Craneware PLC, Livingston Ordinary Shares (United Kingdom)",U
CRWS,Crown Crafts Inc Common Stock,NASDAQ
CRWTF,"Crow Technologies 1977, Ltd. Ordinary Shares (Israel)",U
CRXM,"Taxus Cardium Pharmaceuticals Group, Inc. Common Stock",U
CRXPF,VERT INFRASTRUCTURE LTD Ordinary Shares,U
CRY,"CryoLife, Inc.",NYSE
CRYBF,Extreme Vehicle Battery Technologies Corp Ordinary Shares,U
CRYCY,China Railroad Signal & Communication Corp Ltd American Depositary Receipts - Unsponsored,U
CRYIF,Crystal International Group Ltd Ordinary Shares (Cayman Islands),U
CRYO,American Cryostem Corporation. Common,U
CRYYF,China Railway Signal & Communications Corp Ltd Ordinary Shares Reg H (China),U
CRZBF,Commerzbank Junge Shs Ordinary Shares,U
CRZBY,Commerzbank Junge Shs American Depositary Shares,U
CRZHF,Rockwealth Res Corp Common Shares,U
CRZN,Corazon Capital V838 Monoceros Corp Class A Ordinary Shares,NASDAQ
CRZNF,Corazon Mining Ltd Ordinary Shares (Australia),U
CRZNU,Corazon Capital V838 Monoceros Corp Unit,NASDAQ
CRZNW,Corazon Capital V838 Monoceros Corp Warrant,NASDAQ
CRZY,Crazy Woman Creek Bancorp Incorporated Common Stock,U
CS,Credit Suisse Group,NYSE
CSA,VictoryShares US Small Cap Volatility Wtd ETF,NASDAQ
CSAIF,COSAN S A INDUSTRIA E COMERCIO Ordinary Shares,U
CSAN,Cosan S.A. American Depositary Shares (each representing four Common Shares),NYSE
CSASF,Credit Saison Co Ltd Ordinary Shares (Japan),U
CSASY,Credit Saison Co Ltd Unsponsored ADR (Japan),U
CSAY,China SheSays Medical Cosmetology Inc.  Common Stock,U
CSB,VictoryShares US Small Cap High Div Volatility Wtd ETF,NASDAQ
CSBB,"CSB Bancorp, Inc. (Ohio) Common Stock",U
CSBF,Consolidated Biofuels Inc. New Common Stock,U
CSBI,"Carroll Shelby International, Inc. Common Stock",U
CSBR,"Champions Oncology, Inc. Common Stock",NASDAQ
CSBTF,Kuros Bioscience Ltd.  Common Shares,U
CSCGY,China Shanshui Cem Group Ltd Unsponsored ADR (Cayman Island),U
CSCHF,CHINA RENAISSANCE Hldgs Ltd USD Shs (Cayman Islands),U
CSCMY,"COSCO Shipping International (Singapore) Co., Ltd. American Depositary Receipts - Sponsored",U
CSCNF,China Sce Grp Hldgs Ltd Ordinary Shares (Cayman Islands),U
CSCO,"Cisco Systems, Inc. Common Stock (DE)",NASDAQ
CSCPF,Crown Seal Public Co Ltd. NVDR Shares (Thailand),U
CSCW,Color Star Technology Co. Ltd. Ordinary Shares,NASDAQ
CSD,Invesco S&P Spin-Off ETF,ARCA
CSDXF,Cosco Shipping Energy Transn Co Ltd. Ordinary Shares,U
CSF,VictoryShares US Discovery Enhanced Volatility Wtd ETF,NASDAQ
CSFFF,Capstone Mining Corp Ordinary Shares (Canada),U
CSFSF,The Cash Store Financial Services Inc. Common Shares (Canada),U
CSGEF,CHINA SUNTIEN GREEN ENERGY CORPORATION LIMITED SHS - H (China),U
CSGH,China Sun Group High-Tech Co. Common Stock,U
CSGKF,Credit Suisse Group Ordinary Shares,U
CSGP,"CoStar Group, Inc. Common Stock",NASDAQ
CSGQF,Costain Group PLC Ordinary Shares (United Kingdom),U
CSGS,"CSG Systems International, Inc. Common Stock",NASDAQ
CSGU,Consolidated Sports Media Group Common Stock,U
CSGYY,Cosmo Energy Hldgs Co Ltd American Depositary Receipts - Unsponsored (Japan),U
CSHEF,"China Enterprises, Ltd. Ordinary Shares (Bermuda)",U
CSHX,Cashmere Valley Bank Common Stock,U
CSII,"Cardiovascular Systems, Inc. Common Stock",NASDAQ
CSIOF,Casio Computer Ltd Ordinary Shares,U
CSIOY,Casio Computer Ltd American Depositary Shares,U
CSIQ,Canadian Solar Inc. Common Shares (BC),NASDAQ
CSJT,Changsheng International Group Limited Common Stock,U
CSKD,"China Skyrise Digital Service, Inc. Common Stock",U
CSKL,"Catskill Hudson Bancorp, Inc. Common",U
CSKRF,CS ETF IE ON MSCI KOREA ACCUM SHS ETF (Ireland),U
CSL,"Carlisle Companies, Inc.",NYSE
CSLI,Critical Solutions Inc Common Stock,U
CSLLY,Csl Ltd SPONSORED ADR (Australia),U
CSLT,"CASTLIGHT HEALTH, INC.",NYSE
CSM,ProShares Large Cap Core Plus,BATS
CSML,IndexIQ ETF Trust IQ Chaikin U.S. Small Cap ETF,NASDAQ
CSMYF,Cosmos Pharmaceutical Corp Miyazaki Ordinary Shares (Japan),U
CSNBF,Credit Suisse AG Nassau Brh Call WT Lkd Eruo Stoxx 50 Index (Switzerland),U
CSNVF,Corbion NV Ordinary Shares,U
CSNVY,Corbion NV Unsponsored ADR (Netherlands),U
CSOC,Caduceus Software Systems Corp. Common Stock,U
CSOD,"Cornerstone OnDemand, Inc. Common Stock",NASDAQ
CSOL,China Solar & Clean Energy Solutions Inc. Common Stock,U
CSOPF,CSOP FTSE China A50 ETF Unit Trust CSOP Asset Management Ltd (Hong Kong),U
CSPCY,CSPC Pharmaceuticals Group Ltd American Depositary Receipts - Unsponsored (Hong Kong),U
CSPHF,CSTONE PHARMACEUTICALS Ordinary Shares  Cayman Islands(KY ),U
CSPI,CSP Inc. Common Stock,NASDAQ
CSPKF,Cosco Pacific Ltd Ordinary Shares,U
CSPKY,COSCO SHIPPING Ports Limited American Depositary Receipts - Unsponsored,U
CSPLF,Countryside Properties Plc Ordinary Shares (United Kingdom),U
CSPR,Casper Sleep Inc.,NYSE
CSPUF,Canadian Spirit Resources Inc Ordinary Shares (Canada),U
CSQ,Calamos Strategic Total Return Common Stock,NASDAQ
CSQPF,Cervus Equipment Corporation Ordinary Shares (Canada),U
CSR,Centerspace,NYSE
CSR PRC,Centerspace 6.625% Series C Cumulative Redeemable Preferred Shares,NYSE
CSRFF,Caisse Regionale De Credit Agricole Mutuel Du Nord De France Ordinary Shares,U
CSRLF,CSR Limited Ordinary Shares (Australia),U
CSRNF,Canstar Resources Inc  Common Shares,U
CSRVF,CROSS RIV VENTURES CORP Common Shares,U
CSSDF,KAPE TECHNOLOGIES PLC Ordinary Shares,U
CSSE,"Chicken Soup for the Soul Entertainment, Inc. Class A Common Stock",NASDAQ
CSSEN,"Chicken Soup for the Soul Entertainment, Inc. 9.50% Notes due 2025",NASDAQ
CSSEP,"Chicken Soup for the Soul Entertainment, Inc. 9.75% Series A Cumulative Redeemable Perpetual Preferred Stock",NASDAQ
CSSEW,CHICKEN SOUP FOR THE SOUL ENTMT INC Warrant   06/30/2021,U
CSSEZ,CHICKEN SOUP FOR THE SOUL ENTMT INC WT CL Z EXP 06/30/2022,U
CSSI,"Costas, Inc. Common Stock",U
CSSPF,Circassia Pharmaceutical Plc Ordinary Shares (United Kingdom),U
CSSSF,Carsales.com Ltd Ordinary Shares (Australia),U
CSSV,"Caspian Services, Inc. Common Stock",U
CSSXF,China Shuifa Singyes Energy Holdings Limited Ordinary Shares,U
CSTA,Constellation Acquisition Corp I,NYSE
CSTA U,"Constellation Acquisition Corp I Units, each consisting of one Class A ordinary share and one-third",NYSE
CSTA WS,"Constellation Acquisition Corp I Redeemable warrants, each whole warrant exercisable for one Class A",NYSE
CSTC,CANNING STR CORP Common Stock,U
CSTE,Caesarstone Ltd. Ordinary Shares,NASDAQ
CSTI,"Costar Technologies, Inc. Common Stock",U
CSTJ,"Creston Resources, Ltd. Common Stock",U
CSTL,"Castle Biosciences, Inc. Common Stock",NASDAQ
CSTM,Constellium SE Class A Ordinary shares,NYSE
CSTNL,IShares VII PLC Core S&P 500 Ucits ETF (Ireland),U
CSTPF,Arrow Expl Corp Common Shares,U
CSTR,"CapStar Financial Holdings, Inc. Common Stock",NASDAQ
CSU,Capital Senior Living,NYSE
CSUAY,China Shenhua Energy Co Ltd Unsponsored ADR representing A shs (China),U
CSUI,Cannabis Suisse Corp. Common Stock,U
CSV,"Carriage Services, Inc.",NYSE
CSVGF,China Overseas Grand Oceans Group Ltd. Ordinary Shares (Hong Kong),U
CSVI,Computer Services Inc Ky Common Stock,U
CSWC,Capital Southwest Corporation Common Stock,NASDAQ
CSWI,"CSW Industrials, Inc. Common Stock",NASDAQ
CSWYF,China Shineway Pharmaceutical Group Limited Ordinary Shares (Cayman Islands),U
CSWYY,China Shineway Pharmaceutical Group Limited Unsponsored ADR (Cayman Islands),U
CSX,CSX Corporation Common Stock,NASDAQ
CSXXY,Carsales.com Ltd Unsponsored ADR (Austrailia),U
CSYJF,CSE Global Ltd Ordinary Shares,U
CSYJY,CSE Global Ltd Unsponsored ADR (Singapore),U
CSYS,"ClearStory Systems, Inc. Common Stock",U
CSYT,Communication Synergy Technologies Inc Common Stock,U
CSZZF,Clearstar Inc GBP Unregistered Shares (Cayman Islands),U
CTA PRA,E.I. du Pont de Nemours and Company Preferred Stock $3.50 Series,NYSE
CTA PRB,E.I. du Pont de Nemours and Company Preferred Stock $4.50 Series,NYSE
CTABF,Canntab Therapeutics Ltd Ordinary Shares,U
CTAC,Cerberus Telecom Acquisition Corp.,NYSE
CTAC U,"Cerberus Telecom Acquisition Corp. Units, each consisting of one Class A ordinary share and one-thir",NYSE
CTAC WS,"Cerberus Telecom Acquisition Corp. Warrants included as part of the Units, each whole warrant exerci",NYSE
CTAGF,Capita Group Plc Ordinary Shares,U
CTAGY,Capita Plc Unsponsored ADR (UK),U
CTAIF,CP Lotus Corporation Ordinary Shares (Cayman Islands),U
CTAM,CASTLE A M & CO Common Stock,U
CTAQ,Carney Technology Acquisition Corp. II Class A Common Stock,NASDAQ
CTAQU,Carney Technology Acquisition Corp. II Units,NASDAQ
CTAQW,Carney Technology Acquisition Corp. II Warrant,NASDAQ
CTARF,CENTAURUS ENERGY INC Common Shares,U
CTAS,Cintas Corporation Common Stock,NASDAQ
CTAUF,CHINA TIANRUI AUTOMOTIVE INTERIORS CO LTD HKD SHS (Caymen Islands),U
CTB,Cooper Tire & Rubber Co.,NYSE
CTBB,Qwest Corporation 6.5% Notes due 2056,NYSE
CTBG,"Coil Tubing Technology, Inc. Common Stock",U
CTBI,"Community Trust Bancorp, Inc. Common Stock",NASDAQ
CTBK,City Bank Common Stock,U
CTBO,Cantabio Pharmaceuticals Inc. Common Stock,U
CTCC,City Capital Corporation New Common Stock,U
CTCGF,C2C GOLD CORP Common Shares,U
CTCK,"Coattec Industries, Inc. New Common Stock",U
CTDD,Qwest Corporation 6.75% Notes due 2057,NYSE
CTDEF,CITY DEVELOPMENTS LTD PREF SHS 2004 -NON -RED CONV NON-CUM Preferred Stock Singapore(SG ),U
CTDN,"Capital Directions, Inc. Common Stock",U
CTDT,"Centaurus Diamond Technologies, Inc.  Common Stock",U
CTEC,Global X Funds Global X CleanTech ETF,NASDAQ
CTEK,"CynergisTek, Inc.",AMEX
CTEUY,Centerenergo Sponsored ADR,U
CTFHF,Chinatrust Financial Holdings Co Ltd Ordinary Shares (Taiwan),U
CTG,"Computer Task Group, Inc. Common Stock",NASDAQ
CTGL,"Citrine Global, Corp. Common Stock",U
CTGO,"Contango Ore, Inc. Common",U
CTGSP,Connecticut Natural Gas Corporation 8% Preferred Stock ($3.125 Par),U
CTHAY,Charterhall Plc Ord American Depositary Shares,U
CTHCF,Cathay Constuction Co Ltd Ordinary Shares,U
CTHR,Charles & Colvard Ltd Common Stock,NASDAQ
CTHZ,"Cancer Treatment Holdings, Inc. Common Stock",U
CTIB,Yunhong CTI Ltd. Common Stock,NASDAQ
CTIC,CTI BioPharma Corp. (DE) Common Stock,NASDAQ
CTIHY,China Taiping Insurance Holdings Co Ltd Unsponsored ADR (Honk Kong),U
CTILF,CTI LOGISTICS LTD Common Shares  Australia(AU ),U
CTIMF,P2 Gold Inc Common Shares,U
CTJHF,Citic Resources Holdings Ltd Ordinary Shares (Bermuda),U
CTJHY,Citic Resources Holdings Ltd Unsponsored ADR (Bermuda),U
CTK,CooTek (Cayman) Inc.,NYSE
CTLE,Nano Labs Corp. Common,U
