Symbol,Issue_Name,Primary_Listing_Mkt
SHYD,VanEck Vectors Short High Yield Muni ETF,BATS
SHYF,"The Shyft Group, Inc. Common Stock",NASDAQ
SHYG,iShares 0-5 Year High Yield Corporate Bond ETF,ARCA
SHYL,Xtrackers Short Duration High Yield Bond ETF,ARCA
SHYMF,Shefa Yamin Ltd. Shs (Israel),U
SHYYF,Shakeys Pizza Asia Ventures Inc Ordinary Shares (Philippines),U
SHZHY,SHENZHOU INTL GROUP HLDGS LTD American Depositary Receipts - Unsponsored,U
SHZNF,Shenzhen Express Co Ltd H Shs Ordinary Shares,U
SHZNY,Shenzhen Express Co Ltd H Shs Unsponsored ADR (China),U
SHZUY,Shizuoka Bank Limited ADR,U
SI,Silvergate Capital Corporation,NYSE
SIACF,STAR ASIA INVT CORP SHS  (Japan),U
SIAF,Sino Agro Food Inc Common Stock,U
SIBCY,Interbrew PLC Global Depositary Receipts - Sponsored,U
SIBE,"Sibling Group Holdings, Inc. Common Stock",U
SIBHY,Interbrew PLC Global Depositary Receipts - Sponsored,U
SIBN,"SI-BONE, Inc. Common Stock",NASDAQ
SIC,"Select Interior Concepts, Inc. Class A Common Stock",NASDAQ
SICNF,Sokoman Minerals Corp Common Shares,U
SICRF,Simcorp A/S Ordinary Shares (Denmark),U
SID,Companhia Siderurgica Nacional S.A. (CSN),NYSE
SIDGQ,"Stamford Industrial Group, Inc. NEW Common Stock",U
SIEB,Siebert Financial Corp. Common Stock,NASDAQ
SIEGY,Siemens AG American Depositary Shares,U
SIELY,Shanghai Electric Group Co Ltd Unsponsored ADR (China),U
SIEN,"Sientra, Inc. Common Stock",NASDAQ
SIERF,SIERRA GROWTH CORP Ordinary Shares,U
SIETY,SA D Ieteren Unsponsored ADR (Belgium),U
SIEVF,SA D Ieteren Ordinary Shares (Belgium),U
SIF,"SIFCO Industries, Inc.",AMEX
SIFY,Sify Technologies Limited American Depositary Shares,NASDAQ
SIG,Signet Jewelers Limited,NYSE
SIGA,SIGA Technologies Inc. Common Stock,NASDAQ
SIGCY,SIG COMBIBLOC GROUP ADR - Unsponsored (Switzerland),U
SIGI,"Selective Insurance Group, Inc. Common Stock",NASDAQ
SIGIP,"Selective Insurance Group, Inc. Depositary Shares, each representing a 1/1,000th interest in a share of 4.60% Non-Cumulative Preferred Stock, Series B",NASDAQ
SIGL,"Signal Advance, Inc. Common Stock",U
SIGN,"Signet International Holdings, Inc. Common Stock",U
SIGO,Sunset Island Group Inc Common Stock,U
SIGP,SigmaRenoPro Inc Common Stock,U
SIGRF,SLIGRO FOOD GROUP Shs (Netherlands),U
SIGY,"Sigyn Therapeutics, Inc. Common Stock",U
SIHBY,Shenzhen Investment Holdings Bay Area Development Company Limited American Depositary Receipts - Sponsored,U
SII,Sprott Inc.,NYSE
SIII,"Strategic Internet Investments, Inc. Common Stock",U
SIIXF,SIIX CORP OSAKA SHS (Japan),U
SIJ,ProShares UltraShort Industrials,ARCA
SIKTF,SUMO INDO KABEL TBK PT Ordinary Shares,U
SIL,Global X Silver Miners ETF (NEW),ARCA
SILC,Silicom Ltd Ordinary Shares,NASDAQ
SILDF,Sintokogio Ltd Ordinary Shares,U
SILEF,SILVER ELEPHANT MNG CORP Common Shares,U
SILJ,ETFMG Prime Junior Silver Miners ETF,ARCA
SILK,"Silk Road Medical, Inc. Common Stock",NASDAQ
SILLF,Sarin Technologies Ltd Ordinary Shares (Israel),U
SILO,SILO PHARMA INC Common Stock,U
SILS,Silver Scott Mines Inc Unclassified,U
SILV,SilverCrest Metals Inc. Common Shares,AMEX
SILXF,Silex Systems Ltd Ordinary Shares,U
SILXY,Silex Systems Ltd American Depositary Shares,U
SIM,"Groupo Simec, S.A.B de C.V.",AMEX
SIMA,"Sonics & Materials, Inc. Common Stock",U
SIMC,"Simclar, Inc. Common Stock",U
SIMEF,Sime Darby Property Berhad Ordinary Shares (Malaysia),U
SIML,Simlatus Corporation Common Stock,U
SIMO,Silicon Motion Technology Corporation American Depositary Shares,NASDAQ
SIMP,"Simply, Inc. Common Stock",U
SIMS,SPDR S&P Kensho Intelligent Structures ETF,ARCA
SIMTF,Sim Technology Group Limited Ordinary Shares (Bermuda),U
SIMYF,Singapore Myanmar Investco LTD SHS (Singapore),U
SINC,Sincerity Applied Materials Holdings Corp. Common Stock,U
SINGD,Singpoint Inc. Common Stock,U
SINGF,Singapore Airlines Ltd Ordinary shares (Singapore),U
SINGY,Singapore Airlines Ltd Unsponsored ADR (Singapore),U
SINO,"Sino-Global Shipping America, Ltd. Common Stock",NASDAQ
SINT,"SiNtx Technologies, Inc. Common Stock",NASDAQ
SINX,Sionix Corporation Common Stock,U
SIOCF,Enduro Metals Corporation Common Shares,U
SIOLF,Sino-Ocean Land Ordinary Shares (Hong-Kong),U
SIOLY,Sino-Ocean Group Holdings Ltd American Depositary Receipts - Unsponsored,U
SIOPF,SHIMAO GROUP HOLDINGS LIMITED  Ordinary Shares,U
SIOX,Sio Gene Therapies Inc. Common Stock,NASDAQ
SIPC,"Sipp Industries, Inc. New Common Stock",U
SIPN,"SIPP International Industries, Inc. Common Stock",U
SIRC,Solar Integrated Roofing Corporation Common Stock,U
SIREF,"Sirios Resources, Inc. Ordinary Shares (Canada)",U
SIRI,Sirius XM Holdings Inc. Common Stock,NASDAQ
SIRLF,Ishares Plc Exchange Traded Fund (United Kingdom),U
SIRR,SIERRA INCOME CORP Common Stock,U
SIRTF,Secure Income Reit Plc REIT,U
SIRZF,Sir Rty Income Fd Unit (Canada),U
SISAF,Sipef Sa Anvers Ordinary Shares (Belgium),U
SISPF,SCIENCE IN SPORT PLC Shs (United Kingdom),U
SISXF,Savaria Corporation Ordinary Shares (Canada),U
SITC,SITE Centers Corp. Common Shares,NYSE
SITC PRA,"SITE Centers Corp. Depositary Shares, each representing a 1/20th interest in a share of 6.375% Class",NYSE
SITC PRK,"SITE Centers Corp. Depositary Shares, each representing a 1/20 of a share of 6.25% Class K Cumulativ",NYSE
SITE,"SiteOne Landscape Supply, Inc.",NYSE
SITIY,SITC International Holdings Co Ltd. American Depositary Receipts - Unsponsored (Cayman Islands),U
SITKF,Sitka Gold Corporation Ordinary Shares (Canada),U
SITM,SiTime Corporation Common Stock,NASDAQ
SITOQ,SITO MOBILE LTD Common Stock,U
SITS,Southern ITS International Inc. Common Stock,U
SIUAF,Stabilus SA Shs (Luxembourg LU),U
SIUDF,Shanghai Industrial Urban Development Group Ltd. Ordinary Shares (Bermuda),U
SIVB,SVB Financial Group Common Stock,NASDAQ
SIVBP,"SVB Financial Group Depositary Shs each representing a 1/40th interest in a share of 5.25% Fixed-Rate Non-Cumulative Perpetual Preferred Stock, Series A",NASDAQ
SIVE,Silver Verde May Mng Co Unclassified,U
SIVR,Aberdeen Standard Physical Silver Shares ETF,ARCA
SIX,Six Flags Entertainment Corp.,NYSE
SIXA,6 Meridian Mega Cap Equity ETF,ARCA
SIXD,"6D Global Technologies, Inc. Common Stock",U
SIXGF,Sixt Aktiengesellschaft Ordinary Shares (Germany Federal Republic),U
SIXH,6 Meridian Hedged Equity-Index Option Strategy ETF,ARCA
SIXL,6 Meridian Low Beta Equity Strategy ETF,ARCA
SIXN,Siouxland Energy & Livestock Coop Wet Equity Intp Int,U
SIXS,6 Meridian Small Cap Equity ETF,ARCA
SIZE,iShares MSCI USA Size Factor ETF,ARCA
SIZYF,Major Precious Metals Corp Ordinary Shares,U
SJ,Scienjoy Holding Corporation Ordinary Shares,NASDAQ
SJB,ProShares Short High Yield,ARCA
SJGFF,SCHRODER JAPAN GROWTH FUND PLC SHS (United Kingdom),U
SJI,"South Jersey Industries, Inc.",NYSE
SJIJ,"South Jersey Industries, Inc. 5.625% Junior Subordinated Notes due 2079",NYSE
SJIU,"South Jersey Industries, Inc.",NYSE
SJIV,"South Jersey Industries, Inc. Corporate Units",NYSE
SJJIY,Shanghai Jin Jiang Capital Company Ltd  American Depositary Receipts - Unsponsored,U
SJM,The J.M. Smucker Company,NYSE
SJMHF,SJM Holdings Ltd Ordinary shares (Hong Kong),U
SJMHY,SJM Holdings Ltd Unsponsored ADR (Hong Kong),U
SJNK,SPDR Bloomberg Barclays Short Term High Yield Bond ETF,ARCA
SJOYW,SCIENJOY HLDG CORP Warrant   02/05/2024,U
SJR,Shaw Communications Inc.,NYSE
SJRNF,Arcwest Expl Inc Ordinary Shares,U
SJRWF,Shaw Communications Inc Ordinary Shares,U
SJT,San Juan Basin Royalty Trust UBI,NYSE
SJW,SJW Group Common Stock,NYSE
SKAIF,Sakai Trading Co Ltd Ordinary Shares (Japan),U
SKAJ,Skajaquoda Group Inc Common Stock,U
SKAS,Saker Aviation Services Inc. Common Stock,U
SKBNF,Shikun & Binui Ltd Ordinary Shares (Israel),U
SKBSY,Skanska AB Sponsored ADR (Sweden),U
SKCBY,Shinkin Central Bank Tokyo Unsponsored ADR representing Preferred Shares (Japan),U
SKENF,Sasakura Engineering Co Ltd Ordinary Shares (Japan),U
SKF,ProShares UltraShort Financials,ARCA
SKFG,STARK FOCUS GROUP INC Common Shares,U
SKFOF,Sika AG Ordinary Shares,U
SKFRY,SKF AB American Depositary Shares,U
SKGO,"SkyBridge Technology Group, Inc. Common Stock",U
SKHCF,Sonic Healthcare Ltd  (Fgn) Ordinary Shares,U
SKHHY,Sonic Healthcare Ltd American Depositary Receipts - Sponsored,U
SKHRF,Stakeholder Gold Corp. Common Shares,U
SKHSF,Sekisui House Ltd Ordinary Shares,U
SKHSY,Sekisui House Ltd American Depositary Shares,U
SKJJF,Streettracks S&P/ASX 200 Fund Ordinary Shares (Australia),U
SKKAF,Sk Kaken Co Ltd Ordinary Shares (Japan),U
SKKFF,Strikewell Energy Corp Ordinary Shares (Canada),U
SKKLF,SHIKOKU CHEMICALS CORP SHS (Japan),U
SKKRF,SKRR EXPL INC COM (Canada),U
SKKY,Skkynet Cloud Systems Inc Common Stock,U
SKLKF,Shinsei Bank Ltd Tokyo Ordinary Shares,U
SKLKY,Shinsei Bank Ltd Tokyo Sponsored ADR (Japan),U
SKLMF,Skellmax Holdings Ltd Ordinary Shares (New Zealand),U
SKLNF,Skyline Investment Inc Common Stock (Canada),U
SKLTF,Seek Ltd Ordinary Shares (Australia),U
SKLTY,Seek Ltd Unsponsored ADR (Austrailia),U
SKLUY,Skellerup Holdings Ltd. Unsponsored ADR (New Zealand),U
SKLV,SKYE LIFE VENTURES LTD Common Stock,U
SKLYF,Skylark Co Ltd. Ordinary Shares (Japan),U
SKLZ,Skillz Inc.,NYSE
SKLZ WS,"Skillz Inc. Warrants, each whole warrant exercisable for one share of Class A common stock at an exe",NYSE
SKM,"SK Telecom Co., Ltd.",NYSE
SKMT,"Chengda Technology Co., Ltd. Common Shares",U
SKOR,FlexShares Trust FlexShares Credit-Scored US Corporate Bond Index Fund,NASDAQ
SKPBF,Sapura Kencana Pete BHD Ordinary Shares (Malaysia),U
SKPGF,Spark Power Group Inc (Canada),U
SKPI,"Sky Petroleum, Inc. Common Stock",U
SKPJY,Sky Perfect JSAT Corp Unsponsored ADR (Japan),U
SKPN,"SkyShop Logistics, Inc. Common Stock",U
SKPO,"Skye Petroleum, Inc. New Common Stock",U
SKREF,Skeena Resources Ltd Ordinary Shares,U
SKRJ,"Silk Road Entertainment, Inc. Common Stock",U
SKRUF,Scottish RE Group Limited Perpetual Preferred (Cayman Islands),U
SKRV,"SK Realty Ventures, Inc. Common Stock",U
SKSBF,Skanska A B Ser B Free Ordinary Shares,U
SKSJF,Shinko Shoji Co Ltd Ordinary Shares (Japan),U
SKSK,Skookum Safety Solutions Corp. Common Stock,U
SKSUF,Sekisui Chem Co Ordinary Shares,U
SKSUY,Sekisui Chemical Co Ltd Unsponsored ADR (Japan),U
SKT,TANGER FACTORY OUTLET CENTERS,NYSE
SKTCF,SKYCHAIN TECHNOLOGIES INC COM NEW (Canada),U
SKTO,"SK3 Group, Inc. Common Stock",U
SKTP,Skytop Lodge Corporation Common Stock,U
SKTPP,Skytop Lodge Corporation Preferred Stock,U
SKUEF,SEKISUI HSE REIT INC SHS (Japan),U
SKUFF,Svenska Kullagerfabriken Ab Skf Shares B (Sweden),U
SKUNF,Seikagaku Corp SHS (Japan),U
SKURF,"SAKURA INTERNET INC, OSAKA SHS (Japan)",U
SKUYF,Sansei Yusoki Co Ltd Ordinary Shares,U
SKVI,"Skinvisible, Inc. Common Stock",U
SKVY,Sentry Technology Corporation Common Stock,U
SKWG,Skywealth Group Inc. Common Stock,U
SKX,"Skechers U.S.A., Inc.",NYSE
SKXJF,Sankyo Co Ltd Gunma Ordinary Shares (Japan),U
SKY,Skyline Champion Corporation Common Stock,NYSE
SKYE,"Skye Bioscience, Inc. Common Stock",U
SKYF,SKY440 Inc Common Stock,U
SKYI,"Sky Century Investment, Inc. Common Stock",U
SKYL,Sky Resort International Ltd. Common Stock,U
SKYU,ProShares Trust ProShares Ultra Nasdaq Cloud Computing ETF,NASDAQ
SKYW,"SkyWest, Inc. Common Stock",NASDAQ
SKYY,First Trust Cloud Computing ETF,NASDAQ
SKYZF,"Sky City Entertainment Group, Ltd. Ordinary Shares (New Zealand)",U
SLAB,"Silicon Laboratories, Inc. Common Stock",NASDAQ
SLAC U,"Social Leverage Acquisition Corp I Units, each consisting of one share of Class A common stock and o",NYSE
SLAHF,Stella Chemifa Corp Osaka Ordinary Shares (Japan),U
SLAMU,Slam Corp. Unit,NASDAQ
SLB,Schlumberger Limited,NYSE
SLBG,Slinger Bag Inc. Common Stock,U
SLCA,"U.S. SILICA HOLDINGS, INC.",NYSE
SLCFF,BPLI Holdings Inc Ordinary Shares,U
SLCH,"Spotlight Capital Holdings, Inc Common Stock",U
SLCJF,SLC Agricola Sa Ordinary shares (Brazil),U
SLCJY,SLC Agricola Sa Sponsored American Depository Receipt (Brazil),U
SLCO,"Sovereign Lithium, Inc. Common Stock",U
SLCR,Silver Crest Acquisition Corporation Class A Ordinary Share,NASDAQ
SLCRU,Silver Crest Acquisition Corporation Unit,NASDAQ
SLCRW,Silver Crest Acquisition Corporation Warrant,NASDAQ
SLCT,"Select Bancorp, Inc. Common Stock",NASDAQ
SLDB,Solid Biosciences Inc. Common Stock,NASDAQ
SLDGF,Solidusgold Inc. Ordinary Shares (Canada),U
SLDMF,SOLDERA MNG CORP COM (Canada),U
SLF,Sun Life Financial Inc.,NYSE
SLFFF,Future Mobility Solutions Ltd.  Ordinary Shares,U
SLFPF,Standard Life Aberdeen PLC Ordinary Shares,U
SLFPY,Standard Life Aberdeen PLC American Depositary Receipts - Unsponsored,U
SLFSF,Sun Life Financial Inc. CL A SER 2 Preferred Stock (Canada),U
SLFYF,Sun Life Financial Inc. Preferred Class A Series 1 (Canada),U
SLG,SL Green Realty Corp.,NYSE
SLG PRI,SL GREEN REALTY CORP 6.50% Series I Cumulative Redeemable Preferred Stock,NYSE
SLGBF,Good Natured Prods Inc Ordinary Shares,U
SLGD,"Scott's Liquid Gold, Inc. Common Stock",U
SLGG,"Super League Gaming, Inc. Common Stock",NASDAQ
SLGGF,Solgold PLC Ordinary Shares (United Kingdom),U
SLGL,Sol-Gel Technologies Ltd. Ordinary Shares,NASDAQ
SLGN,Silgan Holdings Inc. Common Stock,NASDAQ
SLGRF,SLM Solutions Group AG Germany Federal Republic (DE ),U
SLGWF,Slang Worldwide Inc  Common Shares  (Canada),U
SLGYF,"San Leon Energy Plc, Dublin Ordinary Shares (Ireland)",U
SLJB,"Sulja Bros. Building Supplies, Ltd. Common Stock",U
SLLDY,Sanlam Ltd Sponsored ADR (South Africa),U
SLLFF,Gusbourne PLC Ordinary Shares (United Kingdom),U
SLLN,"Searchlight Solutions, Ltd. Common Stock",U
SLLTF,Le Mare Gold Corp Ordinary Shares,U
SLM,SLM Corporation Common Stock,NASDAQ
SLMAF,Sanlam Ltd Ordinary Shares,U
SLMBP,"SLM Corporation Floating Rate Non-Cumulative Preferred Stock, Series B",NASDAQ
SLMCF,SALMONES CAMANCHACA SA Common Shares Chile(CL ),U
SLMLF,Apex Resources Inc. Ordinary Shares,U
SLMNP,LYONDELLBASELL ADVANCED POLYMERS INC Preferred Stock,U
SLMRF,Sul America S A Ctf De Deposito De Acoes Cons of 1 SH + 2 Pfd SHS (Brazil),U
SLMXF,Slam Exploration Ltd. Common Shares,U
SLMZF,Damara Gold Corp. Ordinary Shares (Canada),U
SLN,Silence Therapeutics Plc American Depository Share,NASDAQ
SLNCF,Silence Therapeutics Plc Ordinary shares (United Kingdom),U
SLNG,"Stabilis Solutions, Inc. Common Stock",U
SLNLF,Stella International Holdings Limited Ordinary shares (Cayman Islands),U
SLNLY,Stella International Holdings Limited Unsponsored ADR (Cayman Islands),U
SLNM,"Salon Media Group, Inc. Common Stock",U
SLNO,"Soleno Therapeutics, Inc. Common Stock",NASDAQ
SLNTY,Solutions 30 S.E. American Depositary Receipts - Unsponsored   Luxembourg (LU),U
SLNX,"Solanbridge Group, Inc. Common Stock",U
SLOFF,Solstad Farstad ASA Ordinary Shares,U
SLOIF,"SOITEC, BERNIN Ordinary Shares",U
SLOIY,Silicon On Insulator Technologies Sa American Depositary Receipts - Unsponsored,U
SLOT,San Lotus Holding Inc. Common Stock,U
SLP,"Simulations Plus, Inc. Common Stock",NASDAQ
SLPA,Sleepaid Hldg Co Com Restricted,U
SLQD,iShares 0-5 Year Investment Grade Corporate Bond ETF,NASDAQ
SLQT,"SelectQuote, Inc.",NYSE
SLQTF,SINOPEC ENGR GROUP CO LTD SHS -H- Ordinary Shares (China),U
SLRC,SLR Investment Corp. Common Stock,NASDAQ
SLRGF,Silergy Corp Common Shares (Cayman Island),U
SLRK,Solera National Bancorp Inc. (CO) Common Stock,U
SLROF,Stellar Resources Ltd Ordinary Shares (Australia),U
SLRRF,Silver Range Resources Ltd. Ordinary Shares (Canada),U
SLRX,"Salarius Pharmaceuticals, Inc. Common Stock",NASDAQ
SLS,"SELLAS Life Sciences Group, Inc. Common Stock",NASDAQ
SLSCF,SOLASTO CORP Common Stock,U
SLSDF,Select Sands Corp.  Common Shares,U
SLSOF,Seoul Semiconductor Co Ltd Ordinary Shares (Korea),U
SLSR,Silver Surprize Inc Common Stock,U
SLSSF,Solaris Res Inc. Common Shares (Canada),U
SLT,Pacer Salt High truBeta US Market ETF,BATS
SLTFF,Pegasus Resources Inc Ordinary Shares,U
SLTN,"Silverton Energy, Inc. Common Stock",U
SLTQY,Societatea Nationala de Gaze Naturale Romgaz SA Global Depositary Receipts - Sponsored,U
SLTTF,Slate Office REIT Tr Unit (Canada),U
SLTZ,"Solar Thin Films, Inc. Common Stock",U
SLUNF,Solutions 30 SE Ordinary Shares,U
SLUP,Solucorp Industries Ltd Common Stock,U
SLV,iShares Silver Trust,ARCA
SLVDF,SILVER DOLLAR RES INC Common Shares,U
SLVFF,Silverlake Axis Ltd Ordinary Shares (Bermuda),U
SLVMF,"Silver Mines Limited, Sydney Ordinary Shares (Australia)",U
SLVO,"Credit Suisse X-Links Silver Shares Covered Call ETNs due April 21, 2033",NASDAQ
SLVP,iShares MSCI Global Silver and Metals Miners ETF,BATS
SLVRF,Silver One Resources Inc. Ordinary Shares (Canada),U
SLVTF,SILVER TIGER METALS INC Ordinary Shares,U
SLX,VanEck Vectors Steel ETF,ARCA
SLXSF,Ste Financiere Luxembourgeoise Socfinal Luxembourg Ordinary Shares (Luxembourg),U
SLXXF,Fintech Select Ltd Common Shares,U
SLY,SPDR S&P 600 Small Cap ETF (based on S&P SmallCap 600 Index--symbol SML),ARCA
SLYG,SPDR S&P 600 Small Cap Growth ETF (based on S&P SmallCap 600 Growth Index--symbol: CKG),ARCA
SLYV,SPDR S&P 600 Small Cap Value ETF (based on S&P SmallCap 600 Value Index symbol--CVK),ARCA
SLZNF,SLAVE LAKE ZINC CORP Common Shares Canada(CA ),U
SM,SM Energy Company,NYSE
SMAA,"SMA ALLIANCE, INC. Common Stock",U
SMAGF,Soma Gold Corp Ordinary Shares,U
SMAL,"Summit Bancshares, Inc. (CA) Common Stock",U
SMANP,Standard Management Corporation Capital Trust I 10.25% Cumulative Trust Preferred Securities,U
SMAR,Smartsheet Inc.,NYSE
SMAS,"Somatic Systems, Inc. Common Stock",U
SMATF,Canadian GoldCamps Corp Common Shares,U
SMAWF,Siemens AG Ordinary Shares,U
SMAYF,Simec Atlantis Energy Ltd Ordinary Shares (Singapore),U
SMB,VanEck Vectors Short Muni ETF,BATS
SMBC,"Southern Missouri Bancorp, Inc. Common Stock",NASDAQ
SMBK,"SmartFinancial, Inc. Common Stock",NASDAQ
SMBMF,Sembcorp Marine Ltd Shs,U
SMBMY,Sembcorp Marine Ltd Unsponsored ADR (SMBMY),U
SMBVF,Somboon Advance Technology Public Co Ltd Units Non -Voting Depository Receipts (Thailand),U
SMBZF,"Simba Essel Energy, Inc. Ordinary Shares",U
SMCAY,SMC Corp Japan SPONSORED ADR (Japan),U
SMCBF,Siam Commercial Bk Ordinary Shares,U
SMCCY,Sunrise Communications Group AG American Depositary Receipts - Unsponsored (Switzerland),U
SMCDF,Strategic Minerals Plc Ordinary Shares (United Kingdom),U
SMCE,SMC Entertainment Inc. Common Stock,U
SMCI,"Super Micro Computer, Inc. Common Stock",NASDAQ
SMCP,ETF Series Solutions Trust AlphaMark Actively Managed Small Cap ETF,NASDAQ
SMDCF,Shl Telemedicine Ltd Ordinary Shares (Israel),U
SMDD,ProShares UltraPro Short MidCap400,ARCA
SMDM,"Singing Machine Company, Inc. (The) Common Stock",U
SMDPY,SUMITOMO DAINIPPON PHARMA CO LTD  American Depositary Receipts - Unsponsored (Japan),U
SMDV,ProShares Russell 2000 Dividend Growers ETF,BATS
SMDXF,Sierra Madre Development Inc Common Shares,U
SMDY,Syntax Stratified MidCap ETF,ARCA
SMDZF,Strategic Metals Ltd Ordinary Shares,U
SMEBF,Sime Darby Bhd New Ordinary shares (Malaysia),U
SMECF,Smc Cp Ordinary Shares,U
SMED,Sharps Compliance Corp. Common Stock,NASDAQ
SMEGF,Siemens Energy AG Ord (Germany),U
SMEV,Simulated Environment Concepts Inc Common Stock,U
SMEYF,Smart Employee Benefits Inc Common Shares (Canada),U
SMFG,"Sumitomo Mitsui Financial Group, Inc",NYSE
SMFKY,Smurfit Kappa Group Plc American Depositary Shares (Dublin),U
